FEMUR:,,,,,,,,,,,,,,,,,,,,
measures in mm,,A,-,B,-,-,D,F,H,C,E,G,J,Steadman (1980),,,,,,
TURK#,Site,GL,Lm,Bp,Dp,SC,D,Bd,H,C,E,Dd,J,von den Dreisch (1976),Notes,,,,,
2921,Tipu,-,-,-,-,5.24,5.24,-,-,-,5.35,-,-,,,,,,,
2930,Tipu,-,-,-,-,9.06,8.82,-,-,-,8.4,-,-,,,,,,,
2964,Tipu,-,-,-,-,-,-,-,19.58,-,-,-,18.52,,,,,,,
2988,Tipu,-,-,-,-,-,11.03,-,-,-,10.05,-,-,,,,,,,
3000,Tipu,-,-,22.69,14.56,-,-,-,-,9.43,-,-,-,,,,,,,
3044,Tipu,-,-,-,-,-,-,-,-,7.61,-,-,-,,,,,,,
3082,Tipu,-,-,-,-,7.98,8.78,-,-,-,8.6,-,-,,,,,,,
3107,Tipu,-,-,-,-,-,-,-,-,-,-,13.98,-,,,,,,,
3108,Tipu,-,-,-,-,12.22,12.37,-,-,-,11.1,-,-,,,,,,,
3112,Tipu,-,-,-,-,-,9.27,-,-,-,8.76,-,-,,,,,,,
3143,Tipu,-,-,-,-,11.08,11.19,-,-,-,10.82,-,-,,,,,,,
3154,Tipu,-,-,-,-,9.79,10.43,-,-,-,9.72,-,-,,,,,,,
3166,Tipu,121.28,117.38,23.87,13.96,10.07,9.79,21.98,18.8,8.62,9.38,17.51,16.09,,,,,,,
3205,Tipu,-,-,-,-,6.54,-,-,-,-,-,-,-,,,,,,,
3216,Tipu,-,-,-,-,5.49,5.86,-,-,-,6.13,-,-,,,,,,,
3217,Tipu,-,-,26.84,15.74,-,-,-,-,8.94,-,-,-,,,,,,,
3218,Tipu,-,-,-,-,-,-,22.73,19.42,-,-,17.62,17.49,,,,,,,
3235,Tipu,-,-,-,-,-,-,19.44,16.8,-,-,-,14.63,,Bd may be undermeasured,,,,,
3247,Tipu,-,-,22.46,13.29,-,-,-,-,7.87,-,-,-,,,,,,,
3266,Mayapan,-,-,-,-,10.01,10.25,-,-,-,10.15,-,-,,,,,,,
3323,Mayapan,-,-,-,-,10.85,10.95,-,-,-,9.9,-,-,,,,,,,
3433,Mayapan,-,-,-,-,7.94,8.28,-,-,-,7.91,-,-,,,,,,,
3624,Mayapan,-,-,-,-,-,-,19.31,15.79,-,-,13.65,13.04,,,,,,,
3693,Mayapan,-,-,26.31,17.21,-,-,-,-,10.24,-,-,-,,,,,,,
3694,Mayapan,-,-,22.08,13.24,-,-,-,-,7.91,-,-,-,,,,,,,
3783,Limoncito,-,-,21.2,14.26,-,-,-,-,7.67,-,-,-,,,,,,,
3885,Calakmul,-,86.69,-,-,8.94,8.94,18.06,15.12,7.96,7.83,14.5,13.23,,,,,,,
3886,Calakmul,-,-,-,-,-,-,19.3,-,-,-,-,-,,,,,,,
3888,Calakmul,-,-,-,-,10.65,10.56,22.78,18.32,-,8.92,-,16.62,,Bd may be undermeasured,,,,,
3890,Calakmul,-,-,26.97,15.78,10.51,10.88,-,-,9.57,9.81,-,-,,,,,,,
3891,Calakmul,-,-,-,-,-,-,24.05,18.87,-,-,17.78,16.2,,,,,,,
3892,Calakmul,97.51,88.63,20.36,13.07,8.59,8.6,18.37,15.02,-,7.45,14.73,13.39,,Bd & Dd may be undermeasured,,,,,
3893,Calakmul,-,-,-,-,10.11,10.36,-,-,-,9.51,-,-,,,,,,,
3894,Calakmul,-,-,25.05,15.3,10.25,10.56,-,17.5,9.61,9.21,-,15.28,,,,,,,
3895,Calakmul,-,-,-,-,8.95,9.01,-,-,-,7.43,13.63,-,,,,,,,
3896,Calakmul,-,-,-,-,9.89,10.06,-,-,-,8.86,-,-,,,,,,,
3901,Yaxuna,-,-,-,-,8.35,8.51,-,-,-,8.07,-,-,,,,,,,
3908,Becan,-,88.53,21.23,14.31,8.02,8.4,-,-,7.97,7.37,14.5,-,,,,,,,
3909,Becan,-,-,-,-,10.29,10.33,-,-,-,8.9,-,-,,,,,,,
3935,Chichen Itza,-,-,-,-,10.26,-,-,-,-,-,-,-,,,,,,,
3939,Chichen Itza,-,-,-,-,11.01,11.04,-,-,-,10.07,-,-,,,,,,,
3940,Chichen Itza,-,-,-,-,9.06,-,18.65,14.95,-,-,14.82,13.48,,,,,,,
3941,Chichen Itza,-,-,20.54,12.36,-,-,-,-,7.76,-,-,-,,,,,,,
3942,Chichen Itza,-,-,-,-,-,-,18.62,15.99,-,-,13.61,14.37,,,,,,,
4143,Champoton,117.52,103.81,27.22,17.75,10.94,11.01,25.48,20.79,9.68,10.06,-,18.84,,,,,,,
4144,Champoton,-,-,-,-,-,-,-,-,-,-,13.93,-,,,,,,,
4145,Champoton,-,-,28.64,16.48,-,-,-,-,9.73,-,-,-,,,,,,,
4146,Champoton,-,-,26.02,16.15,10.02,10.06,-,-,8.7,10,-,-,,,,,,,
4147,Champoton,-,-,24.62,14.63,-,9.31,-,-,7.85,8.96,-,-,,,,,,,
4148,Champoton,-,-,-,-,-,-,26.41,20.56,-,-,-,17.99,,,,,,,
4149,Champoton,-,-,-,-,-,-,27.18,21.71,-,-,21.63,19.84,,,,,,,
4150,Champoton,-,-,27.51,16.34,-,-,-,-,9.85,-,-,-,,,,,,,
4151,Champoton,-,-,26.59,16.04,9.68,10.35,-,-,-,9.44,-,-,,,,,,,
4152,Champoton,-,-,-,-,-,-,-,-,7.35,-,-,-,,,,,,,
4153,Champoton,-,-,26.7,16.41,-,-,-,-,8.87,-,-,-,,,,,,,
4154,Champoton,-,-,-,-,9.84,,23.65,18.63,-,-,-,16.12,,,,,,,
4155,Champoton,-,-,21.92,13.86,8.96,9.2,-,-,-,8.75,-,-,,,,,,,
4156,Champoton,-,-,-,-,-,-,24.08,19.34,-,-,-,16.85,,H & J may e undermeasured,,,,,
4157,Champoton,-,-,26.29,17.01,-,9.65,-,-,9.49,9.51,-,-,,,,,,,
4158,Champoton,-,-,26.14,14.39,-,-,-,-,-,-,-,-,,,,,,,
4159,Champoton,-,-,28.62,17.44,-,-,-,-,10.24,-,-,-,,,,,,,
4160,Champoton,-,-,-,17.52,10.67,10.94,-,-,-,10.57,-,-,,,,,,,
4161,Champoton,-,-,28.47,14.9,10.62,11.01,-,-,-,10.37,-,-,,Dp may be undermeasured,,,,,
4162,Champoton,-,-,-,-,-,-,25.99,20.5,-,-,-,18.59,,,,,,,
4163,Champoton,0,-,-,-,10.47,10.62,-,-,9.22,9.58,-,-,,,,,,,
4250,Xcambo,-,-,25.98,15.78,-,10.43,-,-,10.06,8.87,-,-,,,,,,,
4251,Xcambo,98.58,93.44,21.32,14.2,8.49,8.56,19.77,16.23,8.11,8.22,16.24,13.52,,,,,,,
4252,Xcambo,-,-,-,-,11.98,-,27.37,21.06,-,-,-,18.44,,,,,,,
4253,Xcambo,-,-,-,-,9.72,9.74,22.94,-,-,8.9,18.73,-,,,,,,,
4254,Xcambo,-,-,-,-,10.62,10.79,-,-,-,10.03,-,-,,,,,,,
4283,Xcambo,-,-,-,-,10.17,-,-,-,-,-,-,-,,,,,,,
4293,San Pedro,-,-,-,-,-,-,21.44,17.46,-,-,15.98,16.24,,,,,,,
4307,San Pedro,-,-,-,-,8.14,8.42,-,-,-,8.31,-,-,,,,,,,
4309,San Pedro,86.19,81.06,14.78,12.02,7.32,7.44,17.5,14.16,6.79,6.71,13.53,12.33,,,,,,,
4314,Ceibal,-,-,-,-,-,-,-,16.64,-,-,-,15.03,,,,,,,
4326,Ceibal,-,-,-,-,-,9.33,-,-,-,8.82,-,-,,,,,,,
4143-Duplicate,Chompoton,116.85,111.38,27.93,17.74,10.96,10.82,25.3,20.3,9.61,10.09,-,18.37,,,,,,,
